Season,Normal,Flood_6Months,MultipleFloods_6Months,Drought_6Months,Flood_Drought_6Months,ToleranceCode,ScientificName,Freq
2001,1,0,0,0,0,I,Luxilus cardinalis,787
2001,1,0,0,0,0,I,Notropis percobromus,1
2001,1,0,0,0,0,I,Notropis topeka,7
2001,1,0,0,0,0,I,Notropis volucellus,1
2001,1,0,0,0,0,I,Pimephales tenellus,23
2001,1,0,0,0,0,M,Campostoma anomalum,1615
2001,1,0,0,0,0,M,Cyprinella lutrensis,489
2001,1,0,0,0,0,M,Etheostoma spectabile,368
2001,1,0,0,0,0,M,Fundulus notatus,49
2001,1,0,0,0,0,M,Labidesthes sicculus,3
2001,1,0,0,0,0,M,Lepomis humilis,17
2001,1,0,0,0,0,M,Lepomis megalotis,8
2001,1,0,0,0,0,M,Lythrurus umbratilis,280
2001,1,0,0,0,0,M,Minytrema melanops,1
2001,1,0,0,0,0,M,Notropis stramineus,105
2001,1,0,0,0,0,T,Ameiurus natalis,6
2001,1,0,0,0,0,T,Cyprinus carpio,1
2001,1,0,0,0,0,T,Gambusia affinis,129
2001,1,0,0,0,0,T,Lepomis cyanellus,355
2001,1,0,0,0,0,T,Lepomis macrochirus,5
2001,1,0,0,0,0,T,Micropterus salmoides,3
2001,1,0,0,0,0,T,Pimephales notatus,188
2001,1,0,0,0,0,T,Pimephales promelas,108
2001,1,0,0,0,0,T,Semotilus atromaculatus,198
2001,1,0,0,0,0,U,No Fish,0
2002,1,0,0,0,0,I,Luxilus cardinalis,573
2002,1,0,0,0,0,I,Notropis topeka,72
2002,1,0,0,0,0,M,Ameiurus melas,10
2002,1,0,0,0,0,M,Campostoma anomalum,2981
2002,1,0,0,0,0,M,Cyprinella lutrensis,110
2002,1,0,0,0,0,M,Etheostoma spectabile,419
2002,1,0,0,0,0,M,Fundulus notatus,28
2002,1,0,0,0,0,M,Labidesthes sicculus,27
2002,1,0,0,0,0,M,Lepomis humilis,102
2002,1,0,0,0,0,M,Lepomis megalotis,9
2002,1,0,0,0,0,M,Lythrurus umbratilis,1109
2002,1,0,0,0,0,M,Moxostoma erythrurum,20
2002,1,0,0,0,0,M,Notropis stramineus,1
2002,1,0,0,0,0,T,Ameiurus natalis,7
2002,1,0,0,0,0,T,Catostomus commersonii,5
2002,1,0,0,0,0,T,Gambusia affinis,515
2002,1,0,0,0,0,T,Lepomis cyanellus,474
2002,1,0,0,0,0,T,Lepomis macrochirus,107
2002,1,0,0,0,0,T,Micropterus salmoides,7
2002,1,0,0,0,0,T,Notemigonus crysoleucas,18
2002,1,0,0,0,0,T,Pimephales notatus,370
2002,1,0,0,0,0,T,Pimephales promelas,11
2002,1,0,0,0,0,T,Semotilus atromaculatus,661
2002,1,0,0,0,0,U,No Fish,0
2003,0,1,0,0,0,I,Luxilus cardinalis,496
2003,0,1,0,0,0,I,Notropis topeka,15
2003,0,1,0,0,0,M,Campostoma anomalum,538
2003,0,1,0,0,0,M,Cyprinella lutrensis,58
2003,0,1,0,0,0,M,Etheostoma spectabile,179
2003,0,1,0,0,0,M,Fundulus notatus,21
2003,0,1,0,0,0,M,Labidesthes sicculus,7
2003,0,1,0,0,0,M,Lepomis humilis,145
2003,0,1,0,0,0,M,Lepomis megalotis,40
2003,0,1,0,0,0,M,Lythrurus umbratilis,288
2003,0,1,0,0,0,M,Micropterus punctulatus,1
2003,0,1,0,0,0,M,Minytrema melanops,16
2003,0,1,0,0,0,M,Moxostoma erythrurum,13
2003,0,1,0,0,0,T,Gambusia affinis,301
2003,0,1,0,0,0,T,Lepomis cyanellus,164
2003,0,1,0,0,0,T,Lepomis macrochirus,104
2003,0,1,0,0,0,T,Micropterus salmoides,7
2003,0,1,0,0,0,T,Notemigonus crysoleucas,6
2003,0,1,0,0,0,T,Pimephales notatus,191
2003,0,1,0,0,0,T,Pimephales promelas,12
2003,0,1,0,0,0,T,Semotilus atromaculatus,270
2003,0,1,0,0,0,U,No Fish,0
2004,0,1,0,0,0,I,Luxilus cardinalis,101
2004,0,1,0,0,0,I,Notropis topeka,24
2004,0,1,0,0,0,M,Ameiurus melas,1
2004,0,1,0,0,0,M,Campostoma anomalum,2036
2004,0,1,0,0,0,M,Cyprinella lutrensis,194
2004,0,1,0,0,0,M,Etheostoma spectabile,1212
2004,0,1,0,0,0,M,Fundulus notatus,9
2004,0,1,0,0,0,M,Ictalurus punctatus,1
2004,0,1,0,0,0,M,Lepomis humilis,100
2004,0,1,0,0,0,M,Lepomis megalotis,18
2004,0,1,0,0,0,M,Lythrurus umbratilis,596
2004,0,1,0,0,0,M,Minytrema melanops,5
2004,0,1,0,0,0,M,Moxostoma erythrurum,17
2004,0,1,0,0,0,M,Phenacobius mirabilis,8
2004,0,1,0,0,0,T,Ameiurus natalis,1
2004,0,1,0,0,0,T,Gambusia affinis,32
2004,0,1,0,0,0,T,Lepomis cyanellus,263
2004,0,1,0,0,0,T,Lepomis macrochirus,79
2004,0,1,0,0,0,T,Micropterus salmoides,7
2004,0,1,0,0,0,T,Notemigonus crysoleucas,11
2004,0,1,0,0,0,T,Pimephales notatus,283
2004,0,1,0,0,0,T,Pimephales promelas,144
2004,0,1,0,0,0,T,Semotilus atromaculatus,994
2004,0,1,0,0,0,U,No Fish,0
2005,0,1,0,0,0,I,Luxilus cardinalis,287
2005,0,1,0,0,0,I,Notropis percobromus,12
2005,0,1,0,0,0,I,Notropis topeka,19
2005,0,1,0,0,0,M,Ameiurus melas,2
2005,0,1,0,0,0,M,Campostoma anomalum,928
